plan_id,profile_id,cell,content,steering_condition,repetition,model_key,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
qwen3-32b__syn_0001__turning_point__liwc_only__r0,syn_0001,,turning_point,liwc_only,0,qwen3-32b,17.0,40.0,48.248,69.4241,31.248001098632812,29.424102783203125,226,1.1182579732656397
qwen3-32b__syn_0001__turning_point__persona_liwc__r0,syn_0001,,turning_point,persona_liwc,0,qwen3-32b,17.0,40.0,49.886814,49.725048,32.88681411743164,9.725048065185547,215,0.8337871380620083
qwen3-32b__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,,difficult_decision,lex_fewshot,0,qwen3-32b,17.0,40.0,38.89957,41.437897,21.89957046508789,1.437896728515625,287,1.1464481844615713
qwen3-32b__syn_0001__turning_point__lex_fewshot__r0,syn_0001,,turning_point,lex_fewshot,0,qwen3-32b,17.0,40.0,38.73521,59.635582,21.735210418701172,19.635581970214844,170,0.9632199580344
qwen3-32b__syn_0001__childhood_memory__persona_only__r0,syn_0001,,childhood_memory,persona_only,0,qwen3-32b,17.0,40.0,65.1749,64.83287,48.174896240234375,24.832870483398438,210,1.0762279686877705
gpt-4o-mini__syn_0001__memorable_journey__persona_only__r0,syn_0001,,memorable_journey,persona_only,0,gpt-4o-mini,17.0,40.0,81.11081,49.44163,64.11080932617188,9.441631317138672,197,1.287840620367512
gpt-4o-mini__syn_0001__memorable_journey__liwc_only__r0,syn_0001,,memorable_journey,liwc_only,0,gpt-4o-mini,17.0,40.0,66.10694,42.657272,49.10694122314453,2.6572723388671875,206,1.029270120347082
gpt-4o-mini__syn_0001__memorable_journey__persona_liwc__r0,syn_0001,,memorable_journey,persona_liwc,0,gpt-4o-mini,17.0,40.0,60.686386,56.717255,43.68638610839844,16.717254638671875,195,1.3040474665718889
qwen3-32b__syn_0001__childhood_memory__liwc_only__r0,syn_0001,,childhood_memory,liwc_only,0,qwen3-32b,17.0,40.0,41.830315,63.029247,24.83031463623047,23.029247283935547,228,1.4155025144022113
gpt-4o-mini__syn_0001__difficult_decision__liwc_only__r0,syn_0001,,difficult_decision,liwc_only,0,gpt-4o-mini,17.0,40.0,38.157852,57.65024,21.157852172851562,17.65024185180664,177,3.06884425162164
gpt-4o-mini__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,,memorable_journey,lex_fewshot,0,gpt-4o-mini,17.0,40.0,69.32782,61.302505,52.32781982421875,21.302505493164062,203,1.3832060833970825
gpt-4o-mini__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,,difficult_decision,persona_liwc,0,gpt-4o-mini,17.0,40.0,52.324493,48.031063,35.324493408203125,8.031063079833984,185,1.480567081526546
gpt-4o-mini__syn_0001__difficult_decision__persona_only__r0,syn_0001,,difficult_decision,persona_only,0,gpt-4o-mini,17.0,40.0,55.631073,58.516434,38.631072998046875,18.516433715820312,189,1.0068068704580972
gpt-4o-mini__syn_0001__daily_life_change__persona_only__r0,syn_0001,,daily_life_change,persona_only,0,gpt-4o-mini,17.0,40.0,53.971363,57.782562,36.97136306762695,17.782562255859375,195,1.2430206249524074
gpt-4o-mini__syn_0001__daily_life_change__liwc_only__r0,syn_0001,,daily_life_change,liwc_only,0,gpt-4o-mini,17.0,40.0,41.375706,56.822903,24.37570571899414,16.82290267944336,198,1.2329115597943674
gpt-4o-mini__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,,daily_life_change,persona_liwc,0,gpt-4o-mini,17.0,40.0,60.03134,57.80077,43.031341552734375,17.800769805908203,173,1.6361222575959429
gpt-4o-mini__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,,difficult_decision,lex_fewshot,0,gpt-4o-mini,17.0,40.0,56.45408,45.996986,39.454078674316406,5.996986389160156,197,2.1342031302508975
gpt-4o-mini__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,,daily_life_change,lex_fewshot,0,gpt-4o-mini,17.0,40.0,55.489727,59.034557,38.48972702026367,19.034557342529297,184,0.9518784983257684
gpt-4o-mini__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,,meaningful_relationship,persona_only,0,gpt-4o-mini,17.0,40.0,40.88256,68.204704,23.88256072998047,28.20470428466797,198,0.9149757405284124
gpt-4o-mini__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,,meaningful_relationship,persona_liwc,0,gpt-4o-mini,17.0,40.0,63.689484,68.64512,46.689483642578125,28.645118713378906,190,1.730746492573874
gpt-4o-mini__syn_0001__meaningful_relationship__liwc_only__r0,syn_0001,,meaningful_relationship,liwc_only,0,gpt-4o-mini,17.0,40.0,32.55713,52.673416,15.55712890625,12.673416137695312,189,1.6777406050859427
gpt-4o-mini__syn_0001__childhood_memory__persona_only__r0,syn_0001,,childhood_memory,persona_only,0,gpt-4o-mini,17.0,40.0,75.33966,53.581894,58.33966064453125,13.581893920898438,216,1.1707086031839888
