model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles,boot_id
deepseek-v3,persona_liwc,2.6263038184602676,0.6226451174350764,1.949887968315548,48,0.23992617853142553,-0.06587917103014611,48,0.7333949115659625,0.7920843534008113,0.6146477494000242,0.41257166885737634,0.5136097091287003,0.4223951847424362,0.728896186909913,48,1987
gpt-4o-mini,persona_liwc,1.2093864831621404,0.434241558134634,0.696938174492847,47,0.2587514473810741,0.26108592939899766,47,0.7798518901362982,0.6742760075363078,1.3097105683521066,0.4877408757600991,0.8987257220561029,0.2376373022120596,0.5359069926949074,47,653
gpt-4o-mini,persona_only,1.0825209608329298,0.025716513323331233,0.00893883141365797,50,0.26596846930694384,-0.0997573582531893,50,0.8175940413034739,0.7478127414231052,1.292023559433926,0.5083598768549302,0.9001917181444281,0.28188526050358076,0.4631182687652799,50,1965
deepseek-v3,persona_only,1.2361713288137743,-0.01988804638378397,-0.07144467386687042,53,0.2986971488890248,-0.09945955475404653,53,0.8068278175421677,0.913151364950088,0.6757382821741107,0.3757769776634235,0.5257576299187671,0.488015162718017,0.8605632054510408,53,181
deepseek-v3,persona_liwc,2.565286974297088,0.640468386500664,1.873280500830608,51,0.26937707705928243,0.04436597951536368,51,0.6906126162469232,0.7894534459478871,0.5981416927845697,0.45412915010771887,0.5261354214461443,0.387308755021292,0.6658425173338588,51,1652
deepseek-v3,persona_only,1.266968980073718,-0.07178630418861025,-0.09167926495849656,52,0.37097339015211994,-0.12787769450835845,52,0.8126444083777021,0.8887393614252281,0.63298233140652,0.3774558225857859,0.505219076996153,0.5597448245904036,0.8924447419142193,52,21
gpt-4o-mini,persona_only,1.1312978745275695,0.009363087385408975,0.007914789100839993,50,0.29802060470144043,-0.17111558417129435,50,0.7654537597768118,0.8562467436626665,1.4089736744228367,0.463075469082251,0.9360245717525438,0.2753111276590697,0.5176808749001055,50,1713
deepseek-v3,liwc_only,2.7042068446267655,0.6910757638233188,2.1094157592576206,49,0.238508806754338,-0.2742335642156932,49,-0.24619947202061856,0.20937064761854632,0.9167558578602956,0.8725503870815355,0.8946531224709156,-0.05319225003647863,0.13574024562382422,49,1467
deepseek-v3,liwc_only,2.909971126042759,0.7049172322346288,2.285278974903193,48,0.15561353072681228,-0.190698574171414,48,-0.2859433193968873,-0.05593418479688857,0.9076193681427669,0.9399034779111038,0.9237614230269353,-0.07600527691999262,-0.019067270926758,48,1606
deepseek-v3,liwc_only,2.8793030432859745,0.7158384281381512,2.13091330350419,54,-0.03203234048744587,-0.21191377986338042,54,-0.2943073009474457,0.004521090002770709,0.8782468923792561,0.9074101402333571,0.8928285163063066,-0.08525708389407857,0.005980629085625424,54,1465
gpt-4o-mini,persona_only,1.0872427694288833,-0.03673664083466241,-0.0034525947170531922,49,0.309008403452012,0.03190159297775717,49,0.8529871736041943,0.8762768233601381,1.3553333456823264,0.4109670036983553,0.8831501746903409,0.29241317567832437,0.5595954180549858,49,636
deepseek-v3,lex_fewshot,2.884847264928491,0.6476309000086161,2.2434681855895753,54,0.08910931450828363,-0.14755505321629314,54,-0.08534305872798946,0.13834067486357873,0.8747228539918963,0.8907690657906447,0.8827459598912706,-0.020858917893504154,0.08953472809094143,54,1102
gpt-4o-mini,liwc_only,1.862686213332422,0.5454758622853113,1.0599023901913918,53,0.14750400985694176,0.21164087667955636,53,-0.13409953946836878,0.13753101999271486,1.3283416603436373,0.7917090597913001,1.0600253600674687,-0.017704468096843753,0.09989962347523795,53,1075
qwen3-32b,lex_fewshot,2.4229826312190186,0.5463275598544725,1.7819261108393172,49,0.14768293909379637,-0.17293215521382607,49,-0.07018486676147599,0.1114429428516318,0.8898020364024782,0.9588038239558537,0.924302930179166,-0.005012842586107019,0.0318961514930703,49,1150
qwen3-32b,persona_only,1.188397405502113,0.11442323847934201,0.11017142400845636,52,-0.03709959566489123,0.34423402831373956,52,0.8121875401515649,0.855689275756091,0.8502988636801778,0.4591271462182701,0.654713004949224,0.4230515969474199,0.5551709184047444,52,360
qwen3-32b,persona_only,1.21523512823785,0.0686747776164848,0.08326443642448167,58,0.030748401173803737,0.4621138143276849,58,0.8195828099375175,0.859016601853104,0.8484876195387991,0.42803222430476107,0.6382599219217802,0.3771073965847424,0.5729437484245964,58,682
qwen3-32b,persona_liwc,1.8327751670385861,0.43935134806311044,1.5483971271529295,53,0.32399182088822337,0.2160396253330216,53,0.8047954974819496,0.6414692169978952,0.812717480172725,0.622412658463249,0.717565069317987,0.347094267867116,0.4023751193166182,53,1755
qwen3-32b,persona_liwc,2.036026656834106,0.42443019667407317,1.5941845024659034,53,0.2062413521114047,0.04658761436342436,53,0.8247413167919778,0.6622423308417505,0.7876607407817241,0.5519773640852034,0.6698190524334637,0.38019317308026424,0.4478058066293972,53,1918
deepseek-v3,persona_liwc,2.5622978427480163,0.5912058856715279,2.006815195363224,56,0.2848839478607218,-0.08629650616919801,56,0.7087843624767787,0.816563832812355,0.5835395422767957,0.4274851356620059,0.5055123389694008,0.41927757507949714,0.7118813462424727,56,372
qwen3-32b,liwc_only,1.9428387588058873,0.5387609276142343,1.8271503188504847,58,-0.1574452056978398,-0.07155057722007671,58,-0.18579218359090557,0.10056330457843435,0.9245289133939617,0.8894785795694928,0.9070037464817273,-0.02853065888871566,0.053648720359920805,58,614
qwen3-32b,persona_only,1.187959824136151,0.13767915943968995,0.1562652420111315,53,0.0014116889220671313,0.3130533210891353,53,0.8552753744315118,0.7880560919750446,0.8758485720154106,0.42033980736850746,0.648094189691959,0.39157667904379095,0.579539858077588,53,475
deepseek-v3,liwc_only,2.629465009446852,0.7022696820493997,1.9824891609643969,50,0.12880755137910072,-0.1266479378169515,50,-0.24625663957890057,0.03405297687909008,0.8456934294040452,0.9531966374682302,0.8994450334361377,-0.06909822945481761,0.008766686753589716,50,1500
qwen3-32b,persona_liwc,1.9920929921939552,0.4461436270683933,1.3046573913100428,54,0.2668091766632732,0.18818641069840258,54,0.8141302068498196,0.6578822183279059,0.8317582797972184,0.5518957158907717,0.691826997843995,0.3314333247196894,0.4413852592594995,54,1627
deepseek-v3,persona_only,1.2965687554915453,-0.042912713723716425,-0.01713608700237397,50,0.4566226099582046,-0.17887507347396464,50,0.8499730323314945,0.9042573680698606,0.5856718583201967,0.37989014892242734,0.48278100362131204,0.5701750859282186,0.9002749478341965,50,583
